Date,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AAL,AMGN,ADI,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,COST,CSX,DLTR,EBAY,EA,EXPE,FB,FAST,FISV,FOXA,FOX,GILD,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KLAC,LRCX,LBTYK,LBTYA,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MDLZ,MNST,MYL,NTAP,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,QCOM,REGN,ROST,SIRI,SWKS,SBUX,SNPS,TTWO,TSLA,TXN,KHC,TMUS,ULTA,UAL,VRSN,VRSK,VRTX,WBA,WDC,WLTW,WDAY,WYNN,XEL,XLNX
2020-02-27,9014200,4737700,106416200,2861000,1049800,3114500,2978300,8144000,31897300,4071100,3541300,80151400,15746200,1373900,2688300,2843300,6693400,2221100,2703400,1338000,3483700,2678900,3146000,2609100,2444100,932800,51442900,2536900,5326600,36098100,3625300,8697200,3271100,16142600,4906200,6148300,21682600,8835200,6824500,7439900,2763400,51482500,2369400,2300700,610100,2319000,1641700,42226900,2246700,1066600,1246300,17145000,3589700,2872200,4417900,2763300,2834900,6958600,2359700,869700,4124000,36349200,93174900,14101000,7126500,7667700,3494600,1296200,10967700,22660400,4950600,1110200,3333200,2689700,15461900,8605000,17898300,2093500,2738900,54696200,3630300,17120800,1840800,2502800,24277200,8687300,14102800,5856400,1047700,10257100,937100,1053500,1973000,10123200,6394400,966600,3573800,5670100,4225400,4638600
2020-02-28,10456000,6469100,100667700,3320400,1741400,4010900,3790600,9493800,37166400,5316100,6036800,106721200,14945300,1650000,4340100,4585800,9801600,2396700,2271400,977000,4460400,4698200,5167200,3590000,2347000,1392300,80194000,4823400,7873500,62188700,7096600,11539000,4580400,16824600,6853700,5329400,32583500,8622900,7131800,7567100,3917400,33804800,2288300,2319800,1614600,2678200,2525500,60728000,2899400,1943200,1358400,22978900,3695100,3199200,5710500,2795700,3748400,6660800,3740100,1053000,5479700,40288600,97073600,14447200,7217500,16177300,5531100,1161400,11178600,28366900,5507100,1691800,4193900,4052700,17216000,14170000,20905500,1594800,4152000,55314000,4766900,19120200,3132600,3385300,24564200,11432800,16285200,6958100,1407900,9958000,1284100,2169900,2491500,11856800,7883300,1792400,4278800,5946200,7762100,6094600
2020-03-02,9483100,5398100,102324700,3571000,1325200,2771500,2431500,6761700,38738000,4245700,3979400,85349300,10795200,1081300,2698800,3194400,6238800,2364600,2360300,869200,3197600,2711100,3179800,2951700,1689100,1058100,48864300,3897100,5676800,40006900,7563800,10651300,3936600,13131000,4291500,4849000,24949000,7077800,5516400,7503700,2871300,31113000,1485900,2426100,700700,1768200,2261300,43140300,2520500,947500,816700,45794500,2706400,2347300,3047500,1658300,2333900,6375500,2277100,644400,4625100,33272700,71030800,12252600,4547200,8359100,3145600,1417600,6997900,22268600,4306000,1222300,2582700,3500900,13367000,8504500,15043400,1713100,3138100,37938700,2899800,14258700,1692700,2321900,20195000,7207500,14470800,5160600,1148500,13015200,901700,1516200,2406400,11247800,7553300,1009900,3477700,4675300,5117800,4361300
2020-03-03,9825900,4204500,141972300,2455400,1065000,2830100,2402300,7534500,35402500,3975100,3416000,79868900,14036600,1916300,2756100,3095200,5499400,2036100,1649500,704300,2993000,3162500,3217500,2884900,2021900,895700,49294700,2596200,5117800,43253400,5131400,8122400,3248600,18838700,3984800,3376400,27984100,6747000,5171100,4869200,4065400,24482000,2577300,1493200,728900,1353700,1939400,49740300,2015100,1027200,933200,29036500,2397400,2510300,4299300,2429400,3570700,6796500,2497500,606500,5671100,36893200,71677000,13008200,5292000,10890500,2557800,1517400,8364600,16319800,3969600,1406900,2652300,2944600,11912300,8728300,16356200,1210600,3487300,37680000,2428900,12395900,2075100,2073500,25784000,9217300,11011400,5702000,1062800,9208800,966100,1231900,2092900,10385300,5420700,1012000,3381100,4346300,5425200,4745200
2020-03-04,7306400,4146300,93311800,2554000,924300,2379900,1913300,4772900,44362100,3880200,2181000,54794600,7925800,1289500,2242800,2847600,4214100,1752300,1656900,593500,2347700,2364400,2404500,2014000,1171000,681800,30022100,2649300,3244200,24996900,4219300,5576300,7807300,13445400,4289700,3954200,23062500,4983800,5787500,4338400,2778700,23741700,2367600,1698100,602600,956000,2043800,29223100,2551100,734000,1125700,22143600,1493300,1917000,2665200,1837500,1723700,7343700,2095800,471600,4504300,28222000,49814400,12787200,6529900,10527100,2766000,828800,5487300,14935200,2755600,734300,1690000,1913100,8245200,7635700,9894900,1960700,4938700,22911300,5037900,10999600,1529100,2573300,15049000,5556500,8588100,5222200,913200,10671200,793700,987800,1971800,7194200,5143200,1143400,1574600,3137800,3454200,4344300
2020-03-05,6978500,3199000,98302700,1831100,1101100,2719000,2561300,4748200,44656800,3185400,2197200,46893200,9842500,1453900,2328700,3359700,3046900,1470400,1533000,788800,2437400,2163700,2442200,4485300,1147900,651900,30255900,4652300,3893000,25284600,6407700,4894700,4237300,11816600,3029900,4449800,19333400,8820000,4642100,5392200,2206300,22727600,1286300,2054300,524400,1079400,1430200,29099200,2418800,957200,771000,24148600,1697000,2037000,3590200,1823900,2005000,6977200,1699200,403400,4156800,26223000,47817300,10517000,5455400,10850500,2353600,1172900,8747000,13508200,3161500,810200,2276200,2360800,7671500,6579100,9396200,1270200,3136700,38219700,3527000,12545300,1486600,2289900,10852700,6162300,12581900,4941300,1096700,13974700,732900,1062900,1518300,7237100,4487400,1096800,1814500,5576300,5871800,2889800
2020-03-06,9744600,5622200,124430600,2859800,1061000,3232000,2660000,5270900,54470400,3100500,3801200,56491800,8958500,1148400,3272200,3137400,4850800,1513000,1711600,1077500,3016300,3361000,3283900,2145300,2276900,835500,48603000,4220900,5364400,31302100,6179100,5189500,3879900,12849800,3886200,4772700,24548800,7757500,4426400,8403600,2821300,31683600,1800600,1916200,559200,1117600,1800100,36258500,1913900,1034100,782600,25375100,1858400,2048600,3308400,2245000,2494400,6790100,2127000,599800,5440300,30298000,72790000,9781200,6143800,18763400,4223800,1008300,8143300,12878800,3544400,1175800,2703500,2592000,8522900,6754900,11535700,1130700,3940100,33955300,3052700,18074800,1491300,2426100,12635500,6386200,8693600,5978500,1230300,16484900,959700,1214500,1872600,11822800,6008600,893300,2789800,5509200,6689400,3344100
